correct,statement
1,Lean4: protected theorem semiconj [Add G] [Add H] [AddConstMapClass F G     H a b] (f : F) :\n    Semiconj f (· + a) (· + b) :=\n  map_add_const f
1,Lean4: @[scoped simp]\ntheorem map_add_nsmul [AddMonoid G] [AddMonoid H]     [AddConstMapClass F G H a b]\n    (f : F) (x : G) (n : ℕ) : f (x + n • a) =     f x + n • b := by\n  simpa using (AddConstMapClass.semiconj f).iterate_right     n x
1,Lean4: theorem map_ofNat_add' [AddCommMonoidWithOne G] [AddMonoid H] [Add    ConstMapClass F G H 1 b]\n    (f : F) (n : ℕ) [n.AtLeastTwo] (x : G) :\n        f (OfNat.ofNat n + x) = f x + OfNat.ofNat n • b :=\n  map_nat_add' f n x
1,Lean4: theorem algebraMap_ofSubring {R : Type*} [CommRing R] (S : Subring     R) :\n    (algebraMap S R : S →+* R) = Subring.subtype S :=\n  rfl
1,Lean4: theorem mem_algebraMapSubmonoid_of_mem {S : Type*} [Semiring S] [A    lgebra R S] {M : Submonoid R}\n    (x : M) : algebraMap R S x ∈ algebraMapSu    bmonoid S M :=\n  Set.mem_image_of_mem (algebraMap R S) x.2
1,"Lean4: theorem coeLinearMap_eq_dfinsupp_sum [DecidableEq M] (x : DirectSum ι fun     i => A i) :\n    coeLinearMap A x = DFinsupp.sum x fun i => (fun x : A i =>     ↑x) := by\n  simp only [coeLinearMap, toModule, DFinsupp.lsum, LinearEquiv.c    oe_mk, LinearMap.coe_mk,\n    AddHom.coe_mk]\n  rw [DFinsupp.sumAddHom_apply    ]\n  simp only [LinearMap.toAddMonoidHom_coe, Submodule.coe_subtype]"
1,"Lean4: theorem support_of_subset [∀ (i : ι) (x : β i), Decidable (x ≠ 0)] {i : ι}     {b : β i} :\n    (of _ i b).support ⊆ {i} :=\n  DFinsupp.support_single_sub    set"
1,Lean4: theorem of_eq_of_ne (i j : ι) (x : β i) (h : i ≠ j) : (of _ i x) j = 0 :=\    n  DFinsupp.single_eq_of_ne h
1,"Lean4: theorem exists_mem_finset_dvd (hp : Prime p) {s : Finset β} {f : β → α} :\    n    p ∣ s.prod f → ∃ i ∈ s, p ∣ f i :=\n  hp.exists_mem_multiset_map_dvd"
1,Lean4: @[simps]\ndef NatTrans.mapHomologicalComplex {F G : W₁ ⥤ W₂}\n    [F.PreservesZeroMorphisms] [G.PreservesZeroMorphisms] (α : F ⟶ G)\n    (c : ComplexShape ι) : F.mapHomologicalComplex c ⟶ G.mapHomologicalComplex c where\n  app C := { f := fun _ => α.app _ }
1,Lean4: lemma mapBifunctorHomologicalComplex_obj_obj_toGradedObject\n    (K₁ : HomologicalComplex C₁ c₁) (K₂ : HomologicalComplex C₂ c₂) :\n    (((mapBifunctorHomologicalComplex F c₁ c₂).obj K₁).obj K₂).toGradedObject =\n      ((GradedObject.mapBifunctor F I₁ I₂).obj K₁.X).obj K₂.X := rfl
1,Lean4: theorem down_mk {α : Type*} [AddRightCancelSemigroup α] [One α] (i j : α) (h : j + 1 = i) :\n    (down α).Rel i j :=\n  down'_mk (1 : α) i j h
1,"Lean4: theorem squashSeq_eq_self_of_terminated (terminatedAt_succ_n : s.TerminatedAt (n + 1)) :\n    squashSeq s n = s := by\n  change s.get? (n + 1) = none at terminatedAt_succ_n\n  cases s_nth_eq : s.get? n <;> simp only [*, squashSeq]"
1,"Lean4: theorem squashGCF_nth_of_lt {m : ℕ} (m_lt_n : m < n) :\n    (squashGCF g (n + 1)).s.get? m = g.s.get? m := by\n  simp only [squashGCF, squashSeq_nth_of_lt m_lt_n, Nat.add_eq, add_zero]"
1,"Lean4: theorem second_contAux_eq {gp : Pair K} (zeroth_s_eq : g.s.get? 0 = some gp) :\n    g.contsAux 2 = ⟨gp.b * g.h + gp.a, gp.b⟩ := by\n  simp [zeroth_s_eq, contsAux, nextConts, nextDen, nextNum]"
1,Lean4: theorem determinant (not_terminatedAt_n : ¬(↑s : GenContFract K).TerminatedAt n) :\n    (↑s : GenContFract K).nums n * (↑s : GenContFract K).dens (n + 1) -\n      (↑s : GenContFract K).dens n * (↑s : GenContFract K).nums (n + 1) = (-1) ^ (n + 1) :=\n  determinant_aux <| Or.inr <| not_terminatedAt_n
1,"Lean4: theorem mul_dvd_mul_left (a : α) (h : b ∣ c) : a * b ∣ a * c := by\n  obtain ⟨d, rfl⟩ := h\n  use d\n  rw [mul_assoc]"
1,"Lean4: theorem dvd_iff_exists_eq_mul_left : a ∣ b ↔ ∃ c, b = c * a :=\n  ⟨exists_eq_mul_left_of_dvd, by\n    rintro ⟨c, rfl⟩\n    exact ⟨c, mul_comm _ _⟩⟩"
1,"Lean4: theorem dvd_mul [DecompositionMonoid α] {k m n : α} :\n    k ∣ m * n ↔ ∃ d₁ d₂, d₁ ∣ m ∧ d₂ ∣ n ∧ k = d₁ * d₂ := by\n  refine ⟨exists_dvd_and_dvd_of_dvd_mul, ?_⟩\n  rintro ⟨d₁, d₂, hy, hz, rfl⟩\n  exact mul_dvd_mul hy hz"
1,"Lean4: theorem pow_dvd_pow_of_dvd (h : a ∣ b) : ∀ n : ℕ, a ^ n ∣ b ^ n\n  | 0 => by rw [pow_zero, pow_zero]\n  | n + 1 => by\n    rw [pow_succ, pow_succ]\n    exact mul_dvd_mul (pow_dvd_pow_of_dvd h n) h"
1,"Lean4: theorem mul_div_assoc (x : R) {y z : R} (h : z ∣ y) : x * y / z = x * (y / z) := by\n  by_cases hz : z = 0\n  · subst hz\n    rw [div_zero, div_zero, mul_zero]\n  rcases h with ⟨p, rfl⟩\n  rw [mul_div_cancel_left₀ _ hz, mul_left_comm, mul_div_cancel_left₀ _ hz]"
1,"Lean4: theorem dvd_div_of_mul_dvd {a b c : R} (h : a * b ∣ c) : b ∣ c / a := by\n  rcases eq_or_ne a 0 with (rfl | ha)\n  · simp only [div_zero, dvd_zero]\n  rcases h with ⟨d, rfl⟩\n  refine ⟨d, ?_⟩\n  rw [mul_assoc, mul_div_cancel_left₀ _ ha]"
1,Lean4: theorem dvd_gcd {a b c : R} : c ∣ a → c ∣ b → c ∣ gcd a b :=\n  GCD.induction a b (fun _ _ H => by simpa only [gcd_zero_left] using H) fun a b _ IH ca cb => by\n    rw [gcd_val]\n    exact IH ((dvd_mod_iff ca).2 cb) ca
1,"Lean4: theorem gcd_eq_left {a b : R} : gcd a b = a ↔ a ∣ b :=\n  ⟨fun h => by\n    rw [← h]\n    apply gcd_dvd_right, fun h => by rw [gcd_val, mod_eq_zero.2 h, gcd_zero_left]⟩"
1,"Lean4: theorem gcd_eq_gcd_ab (a b : R) : (gcd a b : R) = a * gcdA a b + b * gcdB a b := by\n  have :=\n    @xgcdAux_P _ _ _ a b a b 1 0 0 1 (by dsimp [P]; rw [mul_one, mul_zero, add_zero])\n      (by dsimp [P]; rw [mul_one, mul_zero, zero_add])\n  rwa [xgcdAux_val, xgcd_val] at this"
0,"Lean4: protected theorem semiconj [Add G] [Add H]:\n\nsemconjugate (G, A) = 0 → ∃ B. ∀ x ∈ X.\nx + y ≤ max {A} ∧ ¬(x,y :∈ C)\ny - z ≥ min {-B}\nz * w > |H|\nw < -(min{-C})"
0,"Lean4: @[scoped simp]\ntheorem map_add_nsmul [AddMonoid G] [AddMonoid H]     [AdjointedRing R, AddCommGroup (R ×)]\nsimp\n@[simp]: theorem add_map_mul_left_cancel_iff : ∀ a b c d e f g h k l m n o p q r s t u v w x y z,\na + ((b * 1) • (((c -d)*e)*(f•g))) =   \nb*(((a-((x*y)+(z*w)))+((((y*z)-(w*x))+u)-v))*h)=    \\begin{array}{ll} &\\text{}\\\\&0=2+3*(5∗6)=(7−8)(9⋅(​ ​ ))=(…)\t\t\\\end { array}\nTheorem of the Week:\nto be determined.\nclass adjoint_ring := Adjointed Ring."
